,Earnings
Paid Subs,
Prime Subs,
Gifted Subs,
Multi-Month Gifted Subs,
Ads,0.58
Turbo,0.01
Cheering,0.05
Game Sales,
Extensions,
Bounties,
Other Bits Interactions,
