,Earnings
Paid Subs,
Prime Subs,
Gifted Subs,
Multi-Month Gifted Subs,
Ads,3.88
Turbo,0.02
Cheering,0.05
Game Sales,
Extensions,
Bounties,
Other Bits Interactions,
